,name,lat,lon,h,street_elevation,building_elevation
0,KNYBROOK41,40.6,-73.948,13.0,8.792996114,39.58346
1,KNYBROOK40,40.717,-73.963,64.0,32.8362909506,76.218
2,KNYBROOK54,40.624,-74.013,89.0,29.978260589,110.081
3,KNYBROOK49,40.695,-73.928,62.0,54.5264886616,111.238
4,KNYBROOK51,40.714,-73.948,39.0,32.8362909506,35.3412255115
5,KNYBROOK101,40.686,-73.968,118.0,32.8362909506,137.632995638
6,KNYBROOK103,40.687,-73.986,52.0,31.4470259886,79.934
7,KNYBROOK106,40.728,-73.945,16.0,50.85772114,34.1959757955
8,KNYBROOK109,40.577,-73.958,3.0,5.31235282,93.294702855
9,KNYBROOK115,40.705,-74.009,-107506.0,32.8362909506,229.053
10,KNYBROOK121,40.673,-73.961,150.0,18.0910171506,122.658375309
11,KNYBROOK132,40.619,-73.912,13.0,8.048771293,33.01
12,KNYBROOK134,40.668,-73.991,39.0,24.9723678036,74.5009213
13,KNYBROOK136,40.713,-73.948,42.0,32.8362909506,35.3412255115
14,KNYBROOK138,40.599,-74.002,49.0,23.446080428,81.961
15,KNYBROOK140,40.683,-73.928,65.0,54.5264886616,96.419
16,KNYBROOK142,40.615,-74.01,29.0,23.446080428,37.4589595718
17,KNYBROOK146,40.66,-73.99,118.0,24.9723678036,84.718525816
18,KNYBROOK152,40.665,-73.942,101.0,6.66706464655,59.915
19,KNYBROOK154,40.623,-73.987,45.0,22.7705452216,60.234
20,KNYBROOK156,40.576,-73.965,36.0,5.31235282,55.044
21,KNYBROOK160,40.693,-73.971,82.0,32.8362909506,123.268046527
22,KNYBROOK164,40.678,-73.944,62.0,45.4087300016,137.632995638
23,KNYBROOK166,40.601,-73.995,26.0,20.897866725,48.937
24,KNYBROOK170,40.679,-73.999,59.0,24.6762845356,58.795
25,KNYBROOK172,40.597,-73.932,16.0,8.852760114,35.401
26,KNYBROOK174,40.713,-73.949,42.0,32.8362909506,35.3412255115
27,KNYBROOK176,40.675,-73.982,39.0,28.4806386066,73.668
28,KNYBROOK178,40.638,-73.966,45.0,15.0980750766,59.316226343
29,KNYBROOK186,40.593,-73.971,29.0,4.144031246,37.542
30,KNYBROOK194,40.686,-73.976,65.0,32.8362909506,131.520375309
31,KNYBROOK196,40.683,-73.999,55.0,24.6762845356,58.795
32,KNYBROOK200,40.719,-73.953,19.0,32.8362909506,33.7143685875
33,KNYBROOK202,40.677,-73.981,52.0,28.4806386066,73.866
34,KNYBROOK204,40.668,-73.98,0.0,21.1246389906,73.866
35,KNYBROOK206,40.709,-73.947,0.0,32.8362909506,35.8885476048
36,KNYBROOK208,40.665,-73.987,0.0,24.9723678036,77.178052716
37,KNYBROOK210,40.658,-73.982,0.0,22.2955398106,81.08
38,KNYBROOK214,40.623,-74.01,0.0,29.978260589,100.487
39,KNYBROOK64,40.689,-73.991,55.0,32.8050259886,76.9450666
40,KNYBROOK65,40.683,-73.996,55.0,28.4806386066,67.176
41,KNYBROOK67,40.643,-73.99,75.0,25.0572740346,81.021214256
42,KNYBROOK70,40.616,-73.99,42.0,25.207674224,74.287
43,KNYBROOK71,40.669,-73.873,0.0,55.97514837,44.868721381
44,KNYBROOK74,40.696,-73.975,16.0,32.8362909506,101.855595337
45,KNYBROOK76,40.709,-73.948,32.0,32.8362909506,35.3412255115
46,KNYBROOK78,40.622,-74.034,78.0,46.226372589,94.935011748
47,KNYBROOK79,40.701,-73.992,82.0,32.8362909506,105.733103376
48,KNYBROOK83,40.623,-74.04,55.0,46.226372589,76.03905992
49,KNYBROOK85,40.601,-73.907,6.0,8.852760114,41.466929535
50,KNYBROOK88,40.676,-73.959,124.0,15.5910171506,125.949375309
51,KNYBROOK91,40.581,-73.967,22.0,4.883001246,57.627960457
52,KNYBROOK95,40.694,-73.965,52.0,32.8362909506,105.445587892
53,KNYBROOK96,40.707,-74.01,-107506.0,32.8362909506,420.931509589
54,KNYBROOK97,40.682,-73.964,95.0,32.8362909506,133.114995638
55,KNYBROOK98,40.619,-73.919,16.0,9.175629492,36.740100188
56,KNYBROOK99,40.629,-74.033,49.0,38.725359769,60.341923322
57,KNYBROOK38,40.628,-74.038,43.0,38.725359769,66.508
58,KNYBROOK55,40.638,-73.989,78.0,25.0572740346,86.621
59,KNYBROOK56,40.636,-73.961,49.0,16.820388152,59.232
60,KNYLONGI3,40.741,-73.922,82.0,37.219268381,109.451946947
61,KNYLONGI10,40.744,-73.957,13.0,50.85772114,95.503198311
62,KNYLONGI11,40.749,-73.971,-107506.0,50.85772114,191.729
63,KNYLONGI15,40.748,-73.956,22.0,50.85772114,185.267106398
64,KNYLONGI25,40.733,-73.954,22.0,50.85772114,46.407542732
65,KNYLONGI27,40.744,-73.959,-9.0,50.85772114,141.788559599
66,KNYLONGI29,40.743,-73.955,0.0,50.85772114,43.234825003
67,KNYLONGI31,40.742,-73.956,6.0,50.85772114,51.862215234
68,KNYLONGI33,40.749,-73.974,-107506.0,50.85772114,190.558969653
69,KNYLONGI35,40.74,-73.936,22.0,50.85772114,45.676065789
70,KNYLONGI5,40.743,-73.951,19.0,50.85772114,78.971418925
71,KNYLONGI6,40.738,-73.957,13.0,50.85772114,41.504540685
72,KNYLONGI7,40.747,-73.974,-107506.0,50.85772114,90.737
73,KNYNEWYO99,40.791,-73.971,138.0,54.683846836,159.803
74,KNYNEWYO540,40.632,-74.191,43.0,1.214100759,20.685400364
75,KNYNEWYO177,40.559,-73.92,7.0,3.917562566,28.265243006
76,KNYNEWYO270,40.782,-73.974,89.0,59.17572114,201.965103726
77,KNYNEWYO489,40.672,-73.988,36.0,24.5076689906,71.207052716
78,KNYNEWYO529,40.721,-73.888,108.0,61.028679301,124.339
79,KNYNEWYO322,40.732,-73.956,16.0,50.85772114,47.545
80,KNYNEWYO545,40.581,-73.841,7.0,2.03,33.746964371
81,KNYNEWYO92,40.792,-73.971,154.0,54.683846836,170.45918393
82,KNYNEWYO304,40.705,-73.864,82.0,64.776733801,102.751690459
83,KNYNEWYO116,40.688,-73.992,46.0,32.6492541146,79.12
84,KNYNEWYO181,40.675,-73.973,121.0,28.4806386066,76.58982957
85,KNYNEWYO505,40.697,-73.893,98.0,69.301913801,110.641594253
86,KNYNEWYO343,40.763,-73.992,30.0,50.85772114,99.318
87,KNYNEWYO167,40.608,-74.073,135.0,80.155014497,178.481
88,KNYNEWYO274,40.674,-73.977,108.0,28.4806386066,75.65982957
