,name,lat,lon,h,TemperatureHighMeanAugustF,HumidityHighMeanAugust
5,KNYBROOK41,40.6,-73.948,13.0,84,74.6451612903
6,KNYBROOK40,40.717,-73.963,64.0,89,62.4193548387
7,KNYBROOK54,40.624,-74.013,89.0,87,79.4193548387
8,KNYBROOK49,40.695,-73.928,62.0,87,75.2727272727
9,KNYBROOK51,40.714,-73.948,39.0,86,75.9090909091
10,KNYBROOK101,40.686,-73.968,118.0,84,49.6451612903
11,KNYBROOK103,40.687,-73.986,52.0,93,70.5806451613
12,KNYBROOK106,40.728,-73.945,16.0,85,49.1612903226
13,KNYBROOK109,40.577,-73.958,3.0,84,76.8064516129
14,KNYBROOK115,40.705,-74.009,-107506.0,100,74.3548387097
15,KNYBROOK121,40.673,-73.961,150.0,87,73.7419354839
16,KNYBROOK132,40.619,-73.912,13.0,91,74.6129032258
17,KNYBROOK134,40.668,-73.991,39.0,79,57.1935483871
18,KNYBROOK136,40.713,-73.948,42.0,83,68.5
19,KNYBROOK138,40.599,-74.002,49.0,100,67.064516129
20,KNYBROOK140,40.683,-73.928,65.0,80,76.3870967742
21,KNYBROOK142,40.615,-74.01,29.0,85,76.7419354839
22,KNYBROOK146,40.66,-73.99,118.0,85,77.3548387097
23,KNYBROOK152,40.665,-73.942,101.0,83,80.2
24,KNYBROOK154,40.623,-73.987,45.0,88,71.6785714286
25,KNYBROOK156,40.576,-73.965,36.0,93,80.9
26,KNYBROOK160,40.693,-73.971,82.0,85,65.3548387097
27,KNYBROOK164,40.678,-73.944,62.0,83,74.4516129032
28,KNYBROOK166,40.601,-73.995,26.0,89,70.6956521739
29,KNYBROOK170,40.679,-73.999,59.0,-1,-1.0
30,KNYBROOK172,40.597,-73.932,16.0,-1,-1.0
31,KNYBROOK174,40.713,-73.949,42.0,-1,-1.0
32,KNYBROOK176,40.675,-73.982,39.0,-1,-1.0
33,KNYBROOK178,40.638,-73.966,45.0,-1,-1.0
34,KNYBROOK186,40.593,-73.971,29.0,-1,-1.0
35,KNYBROOK194,40.686,-73.976,65.0,-1,-1.0
36,KNYBROOK196,40.683,-73.999,55.0,-1,-1.0
37,KNYBROOK200,40.719,-73.953,19.0,-1,-1.0
38,KNYBROOK202,40.677,-73.981,52.0,-1,-1.0
39,KNYBROOK204,40.668,-73.98,0.0,-1,-1.0
40,KNYBROOK206,40.709,-73.947,0.0,-1,-1.0
41,KNYBROOK208,40.665,-73.987,0.0,-1,-1.0
42,KNYBROOK210,40.658,-73.982,0.0,-1,-1.0
43,KNYBROOK214,40.623,-74.01,0.0,-1,-1.0
44,KNYBROOK64,40.689,-73.991,55.0,87,73.0322580645
45,KNYBROOK65,40.683,-73.996,55.0,92,75.04
